page_url,image_url,saved_path
"https://www.druplicon.org/index.php/druplicon/czech-drupal-association","https://www.druplicon.org/sites/default/files/druplicons/asociace-pro-drupal-logo_drop.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/czech-drupal-association.png"
"https://www.druplicon.org/druplicon/deploytron","https://www.druplicon.org/sites/default/files/druplicons/deployotron.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/deploytron.png"
"https://www.druplicon.org/index.php/druplicon/dropsolid","https://www.druplicon.org/sites/default/files/druplicons/download%20%282%29.jpeg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/dropsolid.jpeg"
"https://www.druplicon.org/index.php/druplicon/dropsolid-digital-agency","https://www.druplicon.org/sites/default/files/druplicons/Druplicon%20-%20Dropsolid%20Digital%20Agency%20-%201.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/dropsolid-digital-agency.png"
"https://www.druplicon.org/index.php/druplicon/dropsolid-experience-cloud","https://www.druplicon.org/sites/default/files/druplicons/Druplicon%20-%20Dropsolid%20Experience%20Cloud%20-%201.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/dropsolid-experience-cloud.png"
"https://www.druplicon.org/druplicon/druid","https://www.druplicon.org/sites/default/files/druplicons/logo-druid_0.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/druid.png"
"https://www.druplicon.org/druplicon/drupal-8","https://www.druplicon.org/sites/default/files/druplicons/d8.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-8.png"
"https://www.druplicon.org/druplicon/drupal-australia-0","https://www.druplicon.org/sites/default/files/druplicons/drupal-a-hat.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-australia-0.png"
"https://www.druplicon.org/druplicon/drupal-austria-roadshow","https://www.druplicon.org/sites/default/files/druplicons/drupal_austria_logo.gif","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-austria-roadshow.gif"
"https://www.druplicon.org/druplicon/drupal-belgium","https://www.druplicon.org/sites/default/files/druplicons/druplicon%20belgium.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-belgium.jpg"
"https://www.druplicon.org/index.php/druplicon/drupal-bolivia-0","https://www.druplicon.org/sites/default/files/druplicons/bolivia.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-bolivia-0.png"
"https://www.druplicon.org/index.php/druplicon/drupal-camp-2016","https://www.druplicon.org/sites/default/files/druplicons/drupalcamp-nantes-2016.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-camp-2016.png"
"https://www.druplicon.org/druplicon/drupal-camp-alpe-adria-2014","https://www.druplicon.org/sites/default/files/druplicons/DCAA_logo_znak.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-camp-alpe-adria-2014.png"
"https://www.druplicon.org/index.php/druplicon/drupal-camp-australia-2008","https://www.druplicon.org/sites/default/files/druplicons/druplicon%20fishing%20hat.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-camp-australia-2008.jpg"
"https://www.druplicon.org/index.php/druplicon/drupal-camp-buenos-aires-2009","https://www.druplicon.org/sites/default/files/druplicons/ba.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-camp-buenos-aires-2009.png"
"https://www.druplicon.org/index.php/druplicon/druplicon-engine-driver","https://www.druplicon.org/sites/default/files/druplicons/druplicon%20engine%20driver_0.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/druplicon-engine-driver.jpg"
"https://www.druplicon.org/druplicon/drupal-camp-costa-rica-2017","https://www.druplicon.org/sites/default/files/druplicons/logo-cr.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-camp-costa-rica-2017.png"
